email;nom;departement
ce.0011333u@ac-lyon.fr;Collège Yvon Morandat · Saint-Denis-lès-Bourg;01
ce.0011301j@ac-lyon.fr;Collège le Joran · Prévessin-Moëns;01
ce.0011300h@ac-lyon.fr;Collège de la Plaine de l'Ain · Leyment;01
ce.0010041p@ac-lyon.fr;Collège Vaugelas · Meximieux;01
ce.0010026y@ac-lyon.fr;Collège Paul Claudel · Lagnieu;01
ce.0010066s@ac-lyon.fr;Collège Jean Moulin · Saint-Didier-de-Formans;01
ce.0011387c@ac-lyon.fr;Collège Lucie Aubrac · Ceyzériat;01
ce.0011276g@ac-lyon.fr;Lycée du Val-de-Saône · Trévoux;01
ce.0010895t@ac-lyon.fr;Collège de l'Huppe · Montrevel-en-Bresse;01
ce.0010117x@ac-lyon.fr;Ecole primaire Les Genévriers · Sauverny;01
ce.0010141y@ac-lyon.fr;Ecole primaire Veyziat · Oyonnax;01
ce.0010143a@ac-lyon.fr;Ecole primaire · Apremont;01
ce.0010145c@ac-lyon.fr;Ecole élémentaire · Charix;01
ce.0010172g@ac-lyon.fr;Ecole primaire · Izernore;01
ce.0010175k@ac-lyon.fr;Ecole primaire · Nurieux-Volognat;01
ce.0010187y@ac-lyon.fr;Ecole maternelle Simone Veil · Oyonnax;01
ce.0010193e@ac-lyon.fr;Ecole primaire Lazare Carnot · Bourg-en-Bresse;01
ce.0010207v@ac-lyon.fr;Ecole élémentaire de Thézillieu · Plateau d'Hauteville;01
ce.0010224n@ac-lyon.fr;Ecole primaire · Contrevoz;01
ce.0010227s@ac-lyon.fr;ECOLE ELEMENTAIRE PUBLIQUE · Culoz-Béon;01
ce.0010244k@ac-lyon.fr;Ecole primaire · Civrieux;01
ce.0010278x@ac-lyon.fr;Ecole primaire · Thil;01
ce.0010316n@ac-lyon.fr;Ecole élémentaire · Saint-Genis-sur-Menthon;01
ce.0010329c@ac-lyon.fr;Ecole primaire · Pont-de-Veyle;01
ce.0010340p@ac-lyon.fr;Ecole élémentaire · Thoissey;01
ce.0010345v@ac-lyon.fr;Ecole primaire · Illiat;01
ce.0010415w@ac-lyon.fr;Ecole primaire · Vieu-d'Izenave;01
ce.0010416x@ac-lyon.fr;Ecole primaire · Collonges;01
ce.0010427j@ac-lyon.fr;Ecole primaire · Chaleins;01
ce.0010457s@ac-lyon.fr;Ecole primaire La Pépinière · Châtillon-la-Palud;01
ce.0010463y@ac-lyon.fr;Ecole primaire · Villette-sur-Ain;01
ce.0010465a@ac-lyon.fr;Ecole élémentaire du Vieux Château · Lagnieu;01
ce.0010469e@ac-lyon.fr;Ecole primaire · Ambutrix;01
ce.0010496j@ac-lyon.fr;Ecole élémentaire L'Orée du Bois · Balan;01
ce.0010501p@ac-lyon.fr;ECOLE ELEMENTAIRE PUBLIQUE · Bressolles;01
ce.0010508x@ac-lyon.fr;Ecole primaire · Bourg-Saint-Christophe;01
ce.0010514d@ac-lyon.fr;ECOLE ELEMENTAIRE PUBLIQUE · Groslée-Saint-Benoit;01
ce.0010516f@ac-lyon.fr;Ecole de Joyeux · Joyeux;01
ce.0010525r@ac-lyon.fr;Ecole élémentaire · Le Montellier;01
ce.0010527t@ac-lyon.fr;Ecole élémentaire · Pérouges;01
ce.0010550t@ac-lyon.fr;ECOLE ELEMENTAIRE PUBLIQUE · Journans;01
ce.0010591m@ac-lyon.fr;Ecole primaire · Champfromier;01
ce.0010652d@ac-lyon.fr;ECOLE ELEMENTAIRE PUBLIQUE · Labalme;01
ce.0010654f@ac-lyon.fr;Ecole maternelle · Saint-Jean-le-Vieux;01
ce.0010671z@ac-lyon.fr;Ecole élémentaire · Biziat;01
ce.0010675d@ac-lyon.fr;Ecole primaire · Condeissiat;01
ce.0010681k@ac-lyon.fr;Ecole élémentaire · Romans;01
ce.0010684n@ac-lyon.fr;ECOLE ELEMENTAIRE PUBLIQUE · Saint-Julien-sur-Veyle;01
ce.0010685p@ac-lyon.fr;Ecole primaire · Sandrans;01
ce.0010709r@ac-lyon.fr;Ecole élémentaire · Béréziat;01
ce.0010715x@ac-lyon.fr;Ecole primaire · Bresse Vallons;01
ce.0010743c@ac-lyon.fr;Ecole primaire · Servas;01
ce.0010752m@ac-lyon.fr;Ecole élémentaire · Hautecourt-Romanèche;01
ce.0010758u@ac-lyon.fr;Ecole primaire · Simandre-sur-Suran;01
ce.0010803t@ac-lyon.fr;Ecole primaire Louis Parant · Bourg-en-Bresse;01
ce.0010834b@ac-lyon.fr;Ecole primaire privée Saint Joseph · Jujurieux;01
ce.0010836d@ac-lyon.fr;Ecole primaire privée Jeanne d'Arc · Lagnieu;01
ce.0010840h@ac-lyon.fr;Ecole primaire privée Sainte Blandine-St Jean Bosco · Meximieux;01
ce.0010841j@ac-lyon.fr;Ecole primaire privée Saint Joseph · Miribel;01
ce.0010846p@ac-lyon.fr;Ecole primaire privée Saint Joseph · Oyonnax;01
ce.0010852w@ac-lyon.fr;Ecole primaire privée Sainte-Colombe · Saint-Etienne-du-Bois;01
ce.0010922x@ac-lyon.fr;Ecole élémentaire Les Sources · Bellignat;01
ce.0010942u@ac-lyon.fr;Ecole élémentaire du Turluru · Plateau d'Hauteville;01
ce.0010947z@ac-lyon.fr;Ecole maternelle · Polliat;01
ce.0010950c@ac-lyon.fr;Ecole primaire · Saint-Denis-en-Bugey;01
ce.0010953f@ac-lyon.fr;Ecole primaire · Sault-Brénaz;01
ce.0010957k@ac-lyon.fr;Ecole primaire · Vonnas;01
ce.0010962r@ac-lyon.fr;Ecole primaire de Saint-Bénigne · Saint-Bénigne;01
ce.0010984p@ac-lyon.fr;Ecole primaire · Saint-Paul-de-Varax;01
ce.0011022f@ac-lyon.fr;Ecole élémentaire · Saint-Jean-sur-Reyssouze;01
ce.0011024h@ac-lyon.fr;Ecole primaire · Saint-Cyr-sur-Menthon;01
ce.0011028m@ac-lyon.fr;Ecole primaire Groupe scolaire du Centre · Miribel;01
ce.0011030p@ac-lyon.fr;GROUPE SCOLAIRE SAINT-EXUPERY · Loyettes;01
ce.0011031r@ac-lyon.fr;Ecole maternelle L'Etraz · Lagnieu;01
ce.0011034u@ac-lyon.fr;Ecole primaire Charles Jarrin · Bourg-en-Bresse;01
ce.0011044e@ac-lyon.fr;Ecole primaire · Villeneuve;01
ce.0011079t@ac-lyon.fr;Ecole maternelle · Dagneux;01
ce.0011086a@ac-lyon.fr;Ecole élémentaire Les Lilas · Bourg-en-Bresse;01
ce.0011107y@ac-lyon.fr;Ecole élémentaire Centre · Divonne-les-Bains;01
ce.0011109a@ac-lyon.fr;Ecole maternelle L'Eglisette · Oyonnax;01
ce.0011132a@ac-lyon.fr;Ecole primaire Les Bayards · Mézériat;01
ce.0011144n@ac-lyon.fr;Ecole maternelle Bret · Reyrieux;01
ce.0011148t@ac-lyon.fr;Ecole primaire Charles Péguy · Bourg-en-Bresse;01
ce.0011168p@ac-lyon.fr;Ecole élémentaire Pré des Saules · Bellignat;01
ce.0011169r@ac-lyon.fr;ECOLE PRIMAIRE · Marsonnas;01
