email;nom;departement
mairie-gavrelle@wanadoo.fr;Centre communal d'action sociale (CCAS) - Gavrelle;62
mairie.brulon@wanadoo.fr;Centre communal d'action sociale (CCAS) - Brûlon;72
mairielecluse@orange.fr;Centre communal d'action sociale (CCAS) - Lécluse;59
mairie@fessenheim.fr;Centre communal d'action sociale (CCAS) - Fessenheim;68
ccas@ville-blain.fr;Centre communal d'action sociale (CCAS) - Blain;44
mairie@saint-hilaire-aude.fr;Centre communal d'action sociale (CCAS) - Saint-Hilaire Aude;11
mairie@stchaptes.fr;Centre communal d'action sociale (CCAS) - Saint-Chaptes;30
mairie.tramery@orange.fr;Centre communal d'action sociale (CCAS) - Tramery;51
mairiemercatel@gmail.com;Centre communal d'action sociale (CCAS) - Mercatel;62
mairie.passy89@gmail.com;Centre communal d'action sociale (CCAS) - Passy Yonne;89
contact@liffre-cormier.fr;Centre intercommunal d'action sociale (CIAS) - La Bouëxière;35
mairie.saint-aubin.36100@orange.fr;Centre communal d'action sociale (CCAS) - Saint-Aubin Indre;36
contacts@morieres.fr;Centre communal d'action sociale (CCAS) - Morières-lès-Avignon;84
ccasmennecy@orange.fr;Centre communal d'action sociale (CCAS) - Mennecy;91
mairie.oberbronn@laregie.fr;Centre communal d'action sociale (CCAS) - Oberbronn;67
mairiestmarcel@orange.fr;Centre communal d'action sociale (CCAS) - Saint-Marcel Indre;36
contact@mairie-argeles-gazost.com;Centre communal d'action sociale (CCAS) - Argelès-Gazost;65
mairie.freville@freville76.fr;Centre communal d'action sociale (CCAS) - Saint Martin de l'If;76
accueil@forcalqueiret.fr;Centre communal d'action sociale (CCAS) - Forcalqueiret;83
mairie@guerard.fr;Centre communal d'action sociale (CCAS) - Guérard;77
votre.courriel@voisins78.fr;Centre communal d'action sociale (CCAS) - Voisins-le-Bretonneux;78
ccas@mairie-saintpaul.fr;Centre communal d'action sociale (CCAS) - Saint-Paul La Réunion;974
velles.mairie@wanadoo.fr;Centre communal d'action sociale (CCAS) - Velles;36
mairie@sierville.fr;Centre communal d'action sociale (CCAS) - Sierville;76
mairie@rabastensdebigorre.fr;Centre communal d'action sociale (CCAS) - Rabastens-de-Bigorre;65
mairie.stcyrenarthies@wanadoo.fr;Centre communal d'action sociale (CCAS) - Saint-Cyr-en-Arthies;95
communevoyenne02@wanadoo.fr;Centre communal d'action sociale (CCAS) - Voyenne;02
accueil@stgi.fr;Centre communal d'action sociale (CCAS) - Saint-Germain-sur-Ille;35
mairie.hoste@laposte.net;Centre communal d'action sociale (CCAS) - Hoste;57
breles.mairie@wanadoo.fr;Centre communal d'action sociale (CCAS) - Brélès;29
mairie@saint-paulien.fr;Centre communal d'action sociale (CCAS) - Saint-Paulien;43
mairie.givryenargonne@orange.fr;Centre communal d'action sociale (CCAS) - Givry-en-Argonne;51
ccas.maslacq@wanadoo.fr;Centre communal d'action sociale (CCAS) - Maslacq;64
communedesimiane@wanadoo.fr;Centre communal d'action sociale (CCAS) - Simiane-la-Rotonde;04
mairie.st-martin-sur-nohain@wanadoo.fr;Centre communal d'action sociale (CCAS) - Saint-Martin-sur-Nohain;58
mairie@beaucelaromaine.fr;Centre communal d'action sociale (CCAS) - Beauce la Romaine;41
contact@mairie-cleres.fr;Centre communal d'action sociale (CCAS) - Clères;76
mairie.tuzaguet@wanadoo.fr;Centre communal d'action sociale (CCAS) - Tuzaguet;65
mairie@la-brousse.fr;Centre communal d'action sociale (CCAS) - La Brousse;17
secretariat@mairie-fouillouse05.fr;Centre communal d'action sociale (CCAS) - Fouillouse;05
solidarites@alba-la-romaine.fr;Centre communal d'action sociale (CCAS) - Alba-la-Romaine;07
mairie-auriac@orange.fr;Centre communal d'action sociale (CCAS) - Auriac-sur-Vendinelle;31
ccasremollon@free.fr;Centre communal d'action sociale (CCAS) - Remollon;05
mairie@issoudun.fr;Centre communal d'action sociale (CCAS) - Issoudun;36
ccas@ville-montbrison.fr;Centre communal d'action sociale (CCAS) - Montbrison;42
ccas@ville-pierrelaye.fr;Centre communal d'action sociale (CCAS) - Pierrelaye;95
mairiedetheze@orange.fr;Centre communal d'action sociale (CCAS) - Thèze;64
mairie@les-ecrennes.fr;Centre communal d'action sociale (CCAS) - Les Écrennes;77
accueil@treffendel.fr;Centre communal d'action sociale (CCAS) - Treffendel;35
mairiedeprissac@orange.fr;Centre communal d'action sociale (CCAS) - Prissac;36
ccas@mairie-hourtin.fr;Centre communal d'action sociale (CCAS) - Hourtin;33
mairie@mairie-brazeyenplaine.com;Centre communal d'action sociale (CCAS) - Brazey-en-Plaine;21
contact@mairie-pezilla-riviere.fr;Centre communal d'action sociale (CCAS) - Pézilla-la-Rivière;66
mairiedesalins77@wanadoo.fr;Centre communal d'action sociale (CCAS) - Salins;77
commune-de-forcelles-sous-gugney@orange.fr;Centre communal d'action sociale (CCAS) - Forcelles-sous-Gugney;54
mairie@vieuxboucau.fr;Centre communal d'action sociale (CCAS) - Vieux-Boucau-les-Bains;40
mairie.smv@wanadoo.fr;Centre communal d'action sociale (CCAS) - Saint-Martin-en-Vercors;26
mairie@elnes.fr;Centre communal d'action sociale (CCAS) - Elnes;62
ccas@mairiedeterredehaut.fr;Centre communal d'action sociale (CCAS) - Terre-de-Haut;971
accueil@reyrieux.fr;Centre communal d'action sociale (CCAS) - Reyrieux;01
mairie@veyrierdulac.fr;Centre communal d'action sociale (CCAS) - Veyrier-du-Lac;74
ccas@mairie-sulniac.fr;Centre communal d'action sociale (CCAS) - Sulniac;56
mairie-village@barbizon.fr;Centre communal d'action sociale (CCAS) - Barbizon;77
contact@calonne-ricouart.fr;Centre communal d'action sociale (CCAS) - Calonne-Ricouart;62
accueilmairie@niederhausbergen.fr;Centre communal d'action sociale (CCAS) - Niederhausbergen;67
contact@feuguerolles-bully.fr;Centre communal d'action sociale (CCAS) - Feuguerolles-Bully;14
mairie@saintouen41.fr;Centre communal d'action sociale (CCAS) - Saint-Ouen Loir-et-cher;41
mairie-stmartindepallieres@orange.fr;Centre communal d'action sociale (CCAS) - Saint-Martin-de-Pallières;83
mairie-cizos@wanadoo.fr;Centre communal d'action sociale (CCAS) - Cizos;65
ccas.mairie.bouvignies.fr@gmail.com;Centre communal d'action sociale (CCAS) - Bouvignies;59
mairie-pierrevillers@wanadoo.fr;Centre communal d'action sociale (CCAS) - Pierrevillers;57
ccas.rocroi@gmail.com;Centre communal d'action sociale (CCAS) - Rocroi;08
accueilccas@mairie-vienne.fr;Centre communal d'action sociale (CCAS) - Vienne;38
cias@sarlat.fr;Centre intercommunal d'action sociale (CIAS) de Sarlat-La-Canéda;24
ccas@mairie-argenton-sur-creuse.fr;Centre communal d'action sociale (CCAS) - Argenton-sur-Creuse;36
mairie.badeconlepin@wanadoo.fr;Centre communal d'action sociale (CCAS) - Badecon-le-Pin;36
cias@ccb3f.fr;Centre intercommunal d'action sociale (CIAS) Bouzonvillois Trois Frontière;57
maire@ville-coudekerque-branche.fr;Centre communal d'action sociale (CCAS) - Téteghem-Coudekerque-Village;59
mairie.albitreccia@wanadoo.fr;Centre communal d'action sociale (CCAS) - Albitreccia;2A
mairie@saintmartindevalgalgues.fr;Centre communal d'action sociale (CCAS) - Saint-Martin-de-Valgalgues;30
mairie.hourc@orange.fr;Centre communal d'action sociale (CCAS) - Hourc;65
mairie.pentadicasinca@wanadoo.fr;Centre communal d'action sociale (CCAS) - Penta-di-Casinca;2B
mairie@ville-laroquedantheron.fr;Centre communal d'action sociale (CCAS) - La Roque-d'Anthéron;13
secretariat.mairie@saint-sulpice-la-foret.fr;Centre communal d'action sociale (CCAS) - Saint-Sulpice-la-Forêt;35
mairie.chailland@orange.fr;Centre communal d'action sociale (CCAS) - Chailland;53
ccas@mairie-guemene-penfao.fr;Centre communal d'action sociale (CCAS) - Guémené-Penfao;44
mairie-peret@orange.fr;Centre communal d'action sociale (CCAS) - Péret;34
condesursarthe@orange.fr;Centre communal d'action sociale (CCAS) - Condé-sur-Sarthe;61
mairie.solomiac@wanadoo.fr;Centre communal d'action sociale (CCAS) - Solomiac;32
sangiovanni@wanadoo.fr;Centre communal d'action sociale (CCAS) - San-Giovanni-di-Moriani;2B
contact@mairie-caillouxsurfontaines.fr;Centre communal d'action sociale (CCAS) - Cailloux-sur-Fontaines;69
accueil@saintemarie.bzh;Centre communal d'action sociale (CCAS) - Sainte-Marie Ille-et-Vilaine;35
mairielacassagne@wanadoo.fr;Centre communal d'action sociale (CCAS) - Lacassagne;65
accueil2@stdiziermasbaraud.fr;Centre communal d'action sociale (CCAS) - Saint-Dizier-Masbaraud;23
secretariat.ccas@chasse-sur-rhone.fr;Centre communal d'action sociale (CCAS) - Chasse-sur-Rhône;38
secretariat.dgs@vinon-sur-verdon.fr;Centre communal d'action sociale (CCAS) - Vinon-sur-Verdon;83
mairie.larocheguyon@wanadoo.fr;Centre communal d'action sociale (CCAS) - La Roche-Guyon;95
mairiestgeorgesdegrehaigne@wanadoo.fr;Centre communal d'action sociale (CCAS) - Saint-Georges-de-Gréhaigne;35
commune.goderville@wanadoo.fr;Centre communal d'action sociale (CCAS) - Goderville;76
contact@saintdenislanneray.fr;Centre communal d'action sociale (CCAS) - Saint-Denis-Lanneray;28
apcbilly@wanadoo.fr;Centre communal d'action sociale (CCAS) - Billy-sur-Oisy;58
mairie@kembs.alsace;Centre communal d'action sociale (CCAS) - Kembs;68
mairiedefeurs@feurs.fr;Centre communal d'action sociale (CCAS) - Feurs;42
accueil.ccas@ccas81370.fr;Centre communal d'action sociale (CCAS) - Saint-Sulpice-la-Pointe;81
contact@mairie-plesse.fr;Centre communal d'action sociale (CCAS) - Plessé;44
accueil@commune-baule.fr;Centre communal d'action sociale (CCAS) - Baule;45
mairie.st.sylvestre.cappel@wanadoo.fr;Centre communal d'action sociale (CCAS) - Saint-Sylvestre-Cappel;59
webmaster@neuillyenthelle.fr;Centre communal d'action sociale (CCAS) - Neuilly-en-Thelle;60
mairie@le-drennec.fr;Centre communal d'action sociale (CCAS) - Le Drennec;29
ccas@ville-bitche.fr;Centre communal d'action sociale (CCAS) - Bitche;57
taissy.mairie@taissy.9tel.com;Centre communal d'action sociale (CCAS) - Taissy;51
mairie@ville-loudun.fr;Centre communal d'action sociale (CCAS) - Loudun;86
latourauvergne.mairie@orange.fr;Centre communal d'action sociale (CCAS) - La Tour-d'Auvergne;63
contact@mairie-brax.fr;Centre communal d'action sociale (CCAS) - Brax;31
ccas@ville-avallon.fr;Centre communal d'action sociale (CCAS) - Avallon;89
mairie-loisey@gmx.fr;Centre communal d'action sociale (CCAS) - Loisey;55
p.r.i.cottance@wanadoo.fr;Centre communal d'action sociale (CCAS) - Cottance;42
ccas-mairie.volonne@orange.fr;Centre communal d'action sociale (CCAS) - Volonne;04
mairie@cambounet-sor.fr;Centre communal d'action sociale (CCAS) - Cambounet-sur-le-Sor;81
bansurmeurthe-clefcy@orange.fr;Centre communal d'action sociale (CCAS) - Ban-sur-Meurthe-Clefcy;88
soignolles@wanadoo.fr;Centre communal d'action sociale (CCAS) - Soignolles-en-Brie;77
mairie.marmagne@wanadoo.fr;Centre communal d'action sociale (CCAS) - Marmagne;18
mairiedelaniscat@wanadoo.fr;Centre communal d'action sociale (CCAS) - Bon Repos sur Blavet;22
etcv@saintcyr78.fr;Centre communal d'action sociale (CCAS) - Saint-Cyr-l'École;78
contact@mairie-combs-la-ville.fr;Centre communal d'action sociale (CCAS) - Combs-la-Ville;77
mairie.tremblaysurmauldre@wanadoo.fr;Centre communal d'action sociale (CCAS) - Le Tremblay-sur-Mauldre;78
mairie@lit-et-mixe.com;Centre communal d'action sociale (CCAS) - Lit-et-Mixe;40
mairie.bezu.st.eloi@wanadoo.fr;Centre communal d'action sociale (CCAS) - Bézu-Saint-Éloi;27
mairie@lesportesducoglais.fr;Centre communal d'action sociale (CCAS) - Les Portes du Coglais;35
mairie-augers-en-brie@orange.fr;Centre communal d'action sociale (CCAS) - Augers-en-Brie;77
mairie.st-bauzille-de-montmel@orange.fr;Centre communal d'action sociale (CCAS) - Saint-Bauzille-de-la-Sylve;34
mairie-fontaine-sous-jouy@orange.fr;Centre communal d'action sociale (CCAS) - Fontaine-sous-Jouy;27
accueil@mairie-chateaufort78.fr;Centre communal d'action sociale (CCAS) - Châteaufort;78
mairie@bussieres.fr;Centre communal d'action sociale (CCAS) - Bussières;42
ccas-repasdomicile@mairie-braud.fr;Centre communal d'action sociale (CCAS) - Braud-et-Saint-Louis;33
accueil@ccasportet.fr;Centre communal d'action sociale (CCAS) - Portet-sur-Garonne;31
ccas@venelles.fr;Centre communal d'action sociale (CCAS) - Venelles;13
stdalmas.selv@free.fr;Centre communal d'action sociale (CCAS) - Saint-Dalmas-le-Selvage;06
mairie-heudicourt@orange.fr;Centre communal d'action sociale (CCAS) - Heudicourt Eure;27
mairie@buschwiller.fr;Centre communal d'action sociale (CCAS) - Buschwiller;68
mairielussan@wanadoo.fr;Centre communal d'action sociale (CCAS) - Lussan;32
mairie.moulinlamarche@wanadoo.fr;Centre communal d'action sociale (CCAS) - Moulins-la-Marche;61
mairiemuids@wanadoo.fr;Centre communal d'action sociale (CCAS) - Muids;27
mairie@st-didier-chalaronne.org;Centre communal d'action sociale (CCAS) - Saint-Didier-sur-Chalaronne;01
ccas@mairie-casteljaloux.fr;Centre communal d'action sociale (CCAS) - Casteljaloux;47
mairie@poncin.fr;Centre communal d'action sociale (CCAS) - Poncin;01
mairie@montreux-vieux.fr;Centre communal d'action sociale (CCAS) - Montreux-Vieux;68
secretariat@mairie-gassin.fr;Centre communal d'action sociale (CCAS) - Gassin;83
accueilmairieortaffa@orange.fr;Centre communal d'action sociale (CCAS) - Ortaffa;66
commune.nantiat@nantiat.fr;Centre communal d'action sociale (CCAS) - Nantiat;87
administration@mairie-chars.fr;Centre communal d'action sociale (CCAS) - Chars;95
mairie-roilaye@orange.fr;Centre communal d'action sociale (CCAS) - Saint-Étienne-Roilaye;60
